Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
12/5/2023,111.53,114.4,111.53,112.13,2229251,0.0,0.0,0.0,0.0,0.0
12/6/2023,113.0,118.0,112.45,116.96,2952670,0.0,0.0,0.0,0.0,0.0
12/7/2023,118.11,124.2,118.11,121.09,6384442,0.0,0.0,0.0,0.0,0.0
12/8/2023,122.0,130.17,121.2,129.52,8661913,0.0,0.0,0.0,0.0,0.0
12/11/2023,129.47,132.5,121.16,124.52,24836369,0.0,0.0,0.0,0.0,0.0
12/12/2023,124.98,125.4,122.5,123.72,2279126,0.0,0.0,0.0,0.0,0.0
12/13/2023,124.7,125.6,121.2,122.89,4172921,0.0,0.0,0.0,0.0,0.0
12/14/2023,123.94,124.49,121.0,123.33,4067144,0.0,0.0,0.0,0.0,0.0
12/15/2023,124.0,126.7,122.5,124.81,3642220,0.0,0.0,0.0,0.0,0.0
12/18/2023,125.11,126.5,123.0,123.58,1659917,0.0,0.0,0.0,0.0,0.0
12/19/2023,123.95,123.95,118.2,120.01,2757183,0.0,0.0,0.0,0.0,0.0
12/20/2023,119.1,121.0,116.25,119.16,2337889,0.0,0.0,0.0,0.0,0.0
12/21/2023,116.55,120.25,116.1,119.68,902675,0.0,0.0,0.0,0.0,0.0
12/22/2023,119.5,121.0,115.0,115.95,1557241,0.0,0.0,0.0,0.0,0.0
12/26/2023,116.0,118.8,107.25,108.0,5375214,0.0,0.0,0.0,0.0,0.0
12/27/2023,110.5,110.94,107.05,110.03,2964157,0.0,0.0,0.0,0.0,0.0
12/28/2023,111.26,113.49,110.2,111.16,3342584,0.0,0.0,0.0,0.0,0.0
12/29/2023,111.01,112.0,109.55,110.84,1490758,0.0,0.0,0.0,0.0,0.0
1/1/2024,110.83,116.5,110.83,115.75,2877447,0.3386176526546478,0.19061702489852905,0.1607603132724762,0.14482268691062927,0.16518230736255646
1/2/2024,116.89,118.8,115.0,116.53,4163065,0.35896170139312744,0.1657002866268158,0.15141144394874573,0.15663960576057434,0.16728699207305908
1/3/2024,117.01,119.21,116.49,117.69,3264531,0.3204116225242615,0.18355615437030792,0.16427454352378845,0.15967802703380585,0.1720796525478363
1/4/2024,117.1,117.75,116.1,116.5,1132175,0.3686304986476898,0.17296729981899261,0.16454042494297028,0.13879556953907013,0.15506619215011597
1/5/2024,117.45,117.99,115.2,117.41,1060265,0.35966670513153076,0.17103645205497742,0.15157340466976166,0.15596771240234375,0.1617557257413864
1/8/2024,117.25,118.0,116.01,116.36,573038,0.3225812613964081,0.15057899057865143,0.14980977773666382,0.18779884278774261,0.18923109769821167
1/9/2024,116.99,117.44,115.27,115.58,390894,0.35066163539886475,0.1793297380208969,0.15890605747699738,0.14427267014980316,0.16682986915111542
1/10/2024,117.0,117.0,114.9,115.04,447283,0.29924339056015015,0.16026659309864044,0.1771191656589508,0.174774169921875,0.1885966807603836
1/11/2024,115.25,117.78,114.01,117.42,1236084,0.33630698919296265,0.16927145421504974,0.1591755747795105,0.1601032316684723,0.17514273524284363
1/12/2024,118.0,119.0,117.5,118.47,1597241,0.3418724536895752,0.19728747010231018,0.17659904062747955,0.1493137925863266,0.13492724299430847
1/15/2024,119.3,120.81,117.27,117.75,1911765,0.28168877959251404,0.17748357355594635,0.16844327747821808,0.17575079202651978,0.19663356244564056
1/16/2024,117.26,118.0,116.25,116.62,1139653,0.3005921542644501,0.18425825238227844,0.16109341382980347,0.16869919002056122,0.1853569597005844
1/17/2024,116.01,117.2,114.93,115.42,5075262,0.3223658502101898,0.18546009063720703,0.17181025445461273,0.16275840997695923,0.1576053500175476
1/18/2024,115.0,115.85,112.66,114.65,872339,0.31748953461647034,0.1671845018863678,0.1670248657464981,0.1703004539012909,0.17800062894821167
1/19/2024,115.25,116.5,114.07,114.63,358815,0.31426531076431274,0.17438222467899323,0.167098730802536,0.17829422652721405,0.16595950722694397
1/22/2024,114.64,115.48,113.1,115.0,563759,0.24711735546588898,0.16008464992046356,0.16698616743087769,0.20496246218681335,0.22084933519363403
1/23/2024,115.1,116.6,115.1,116.01,9668921,0.2879539132118225,0.17036846280097961,0.17007765173912048,0.18200825154781342,0.18959170579910278
1/24/2024,116.95,116.95,115.5,115.73,744945,0.24384473264217377,0.1566695272922516,0.17733760178089142,0.20467564463615417,0.21747250854969025
1/25/2024,116.0,117.01,115.01,115.84,3340148,0.34223800897598267,0.17152979969978333,0.15668196976184845,0.157027468085289,0.17252270877361298
1/26/2024,116.0,116.89,113.51,114.0,2069564,0.26067882776260376,0.16031794250011444,0.16651372611522675,0.19401250779628754,0.2184770256280899
1/29/2024,113.9,113.97,111.51,112.03,3150745,0.2886810898780823,0.1489320993423462,0.146043598651886,0.19349373877048492,0.22284944355487823
1/30/2024,112.99,113.98,110.4,111.05,1339104,0.42185336351394653,0.18766795098781586,0.1497538834810257,0.12712806463241577,0.11359678953886032
1/31/2024,111.7,112.4,110.51,111.18,956494,0.276200532913208,0.1477845460176468,0.1606677621603012,0.2054854929447174,0.2098616510629654
2/1/2024,111.48,112.35,111.2,111.72,636327,0.27422910928726196,0.15474463999271393,0.17062914371490479,0.18999674916267395,0.21040035784244537
2/2/2024,112.0,112.83,111.5,111.87,2207990,0.2781989574432373,0.16621939837932587,0.17383316159248352,0.19618234038352966,0.18556614220142365
2/6/2024,113.7,113.7,111.8,112.3,1221222,0.2763109803199768,0.1555260270833969,0.15469114482402802,0.2006152719259262,0.21285653114318848
2/7/2024,112.89,114.0,112.34,112.94,2244630,0.28343260288238525,0.16487766802310944,0.17165744304656982,0.1867685765028,0.1932637244462967
2/9/2024,110.5,111.9,106.27,110.72,1497628,0.27353960275650024,0.17815424501895905,0.17380677163600922,0.19683142006397247,0.17766791582107544
2/12/2024,110.0,112.4,105.35,108.42,3683386,0.32920369505882263,0.16828113794326782,0.1542230248451233,0.16685494780540466,0.1814371943473816
2/13/2024,107.01,110.5,103.0,110.0,1386292,0.3562505841255188,0.17239642143249512,0.15295931696891785,0.15319795906543732,0.16519570350646973
2/14/2024,111.0,112.55,111.0,111.9,961375,0.33935683965682983,0.18995609879493713,0.16420049965381622,0.14918436110019684,0.15730218589305878
2/15/2024,111.11,112.49,108.35,109.64,939367,0.3285108506679535,0.17340391874313354,0.17361056804656982,0.164070725440979,0.16040395200252533
2/16/2024,110.5,111.39,108.01,110.06,524336,0.3479193449020386,0.17698077857494354,0.16789889335632324,0.15231244266033173,0.1548885852098465
2/19/2024,110.0,111.48,108.51,110.56,448399,0.27941733598709106,0.19192592799663544,0.1827239990234375,0.1698673814535141,0.1760653257369995
2/20/2024,110.0,111.29,108.91,110.0,347629,0.3677346408367157,0.1997067630290985,0.16351932287216187,0.14161662757396698,0.12742266058921814
2/21/2024,110.55,113.0,110.55,111.74,528231,0.36996594071388245,0.19436602294445038,0.16125407814979553,0.14927847683429718,0.12513545155525208
